DC_red,AC_red,DC_ir,AC_ir,(AC/DC)_red,(AC/DC)_ir,RR,SpO2
88.7333773,0.138942701,120.9899377,0.230072438,0.001565845,0.001901583,0.823442698,93.31835915
88.78599246,0.137588615,120.9558118,0.232922229,0.001549666,0.00192568,0.804736771,93.63064133
88.81209969,0.130308853,120.8999382,0.232935345,0.001467242,0.001926679,0.761539562,93.93203341
88.82051219,0.138039144,120.7967206,0.244026633,0.001554136,0.002020143,0.769319783,94.23340975
88.83383485,0.145445278,120.7290063,0.249330443,0.001637273,0.002065207,0.792788847,94.44522485
88.83965256,0.143273001,120.5764139,0.249642248,0.001612715,0.002070407,0.778936016,94.64612227
88.84901608,0.14788275,120.4998131,0.254818502,0.001664428,0.00211468,0.7870826,94.84698404
88.86336592,0.138016692,120.4150216,0.237582325,0.001553134,0.001973029,0.787182433,94.95833389
88.87689028,0.144195118,120.364024,0.250685468,0.001622414,0.002082728,0.778985267,95.05881787
88.89753451,0.141653343,120.3247507,0.236219826,0.001593445,0.001963186,0.811662975,95.15928257
88.88910521,0.131437769,120.2742489,0.22695101,0.001478671,0.001886946,0.783632027,95.17014965
